时间,收盘点位,市值(元),流通市值(元),股息率市值加权
2018/8/8,3871.35490 ,53022114428569.90000 ,38315093902091.00000 ,0.02100 
2018/8/7,3933.11890 ,53833343573939.50000 ,38848299967188.00000 ,0.02070 
2018/8/6,3828.14190 ,52414348416852.00000 ,37797474050539.00000 ,0.02120 
2018/8/3,3892.88470 ,53177989602557.60000 ,38336846358033.00000 ,0.02090 
2018/8/2,3950.31890 ,53802204108677.60000 ,38800601514652.00000 ,0.02060 
2018/8/1,4041.43760 ,54964967382644.70000 ,39620887382881.00000 ,0.02020 
2018/7/31,4114.43040 ,55977434359969.10000 ,40338682947458.00000 ,0.01980 
2018/7/30,4112.02020 ,55872197958472.30000 ,40256169970518.00000 ,0.01990 
2018/7/27,4144.35670 ,56158229366736.30000 ,40454616219880.00000 ,0.02000 
2018/7/26,4164.48760 ,56408213552919.80000 ,40599464210816.00000 ,0.01990 
2018/7/25,4196.98660 ,56867150893626.40000 ,40900994590571.00000 ,0.01980 
2018/7/24,4196.10130 ,56902080579456.50000 ,40889976041095.00000 ,0.01970 
2018/7/23,4130.11650 ,56052286189492.10000 ,40227486537297.00000 ,0.02000 
2018/7/20,4096.51900 ,55537091395701.30000 ,39843969060507.00000 ,0.02020 
2018/7/19,4036.14420 ,54491129479844.90000 ,39153996480121.00000 ,0.02070 
2018/7/18,4058.64940 ,54816977452730.10000 ,39354139567655.00000 ,0.02050 
2018/7/17,4081.07990 ,55078135698133.00000 ,39533807229324.00000 ,0.02040 
2018/7/16,4092.13240 ,55413505509640.20000 ,39710613893745.00000 ,0.02030 
2018/7/13,4105.06000 ,55719527691439.50000 ,39872303141731.00000 ,0.02020 
2018/7/12,4089.31980 ,55744107069105.20000 ,39859633092068.00000 ,0.02020 
2018/7/11,3994.51610 ,54416514604834.90000 ,38983137276793.00000 ,0.02070 
2018/7/10,4073.24880 ,55391144042296.60000 ,39703777233791.00000 ,0.02040 
2018/7/9,4054.38470 ,55119069226172.40000 ,39509591993216.00000 ,0.02050 
2018/7/6,3956.61670 ,53717623700061.20000 ,38532823234969.00000 ,0.02100 
2018/7/5,3936.30430 ,53457518253724.80000 ,38360954089591.00000 ,0.02110 
2018/7/4,4002.47320 ,54136306532655.80000 ,38829630241351.00000 ,0.02080 
2018/7/3,4064.36570 ,54908077184119.40000 ,39321823999450.00000 ,0.02050 
2018/7/2,4039.63890 ,54590965734833.00000 ,39150418756176.00000 ,0.02070 
2018/6/29,4127.94730 ,54343463315815.10000 ,39792673260174.00000 ,0.02080 
2018/6/28,4016.75170 ,53016424474038.20000 ,38805331756243.00000 ,0.02130 
2018/6/27,4059.23460 ,53557482088644.40000 ,39182013135913.00000 ,0.02110 
2018/6/26,4117.62180 ,54233113734460.70000 ,39649871924142.00000 ,0.02080 
2018/6/25,4118.83410 ,54401767584758.30000 ,39726070263577.00000 ,0.02070 
2018/6/22,4157.46470 ,54956847379723.00000 ,40117900254054.00000 ,0.02050 
2018/6/21,4120.40210 ,54577406527985.10000 ,39841952729375.00000 ,0.02070 
2018/6/20,4192.04830 ,55440041422406.30000 ,40441356579084.00000 ,0.02040 
2018/6/19,4161.51120 ,55203165896026.80000 ,40243836687347.00000 ,0.02040 
2018/6/15,4380.66030 ,57638801983638.40000 ,41976980142418.00000 ,0.01960 
2018/6/14,4439.19470 ,58206769761036.20000 ,42381376751393.00000 ,0.01940 
2018/6/13,4457.35820 ,58359148016637.40000 ,42506990996702.00000 ,0.01930 
2018/6/12,4515.12430 ,59027023761469.00000 ,42972521856424.00000 ,0.01910 
2018/6/11,4468.83550 ,58458088315552.50000 ,42459590132289.00000 ,0.01930 
2018/6/8,4486.63350 ,58726189703234.40000 ,42632519340666.00000 ,0.01920 
2018/6/7,4542.52940 ,59471716480032.60000 ,43178629450413.00000 ,0.01900 
2018/6/6,4562.44150 ,59653705426965.00000 ,43297672381758.00000 ,0.01890 
2018/6/5,4564.61720 ,59657651836673.20000 ,43322054197187.00000 ,0.01890 
2018/6/4,4505.85390 ,59041346077078.50000 ,42881189424879.00000 ,0.01910 
2018/6/1,4488.92260 ,58782752167808.60000 ,42657092916029.00000 ,0.01910 
2018/5/31,4533.67290 ,59278541754537.10000 ,42995195225993.00000 ,0.01900 
2018/5/30,4454.45890 ,58291046592450.10000 ,42262373598379.00000 ,0.01930 
2018/5/29,4572.15250 ,59835008669930.40000 ,43326485443625.00000 ,0.01880 
2018/5/28,4609.73980 ,60270594729186.50000 ,43619843943367.00000 ,0.01870 
2018/5/25,4614.47380 ,60376030685530.00000 ,43570776297007.00000 ,0.01860 
2018/5/24,4646.78700 ,60745692869670.80000 ,43852819072894.00000 ,0.01850 
2018/5/23,4670.01520 ,61046536447569.40000 ,44074799317797.00000 ,0.01840 
2018/5/22,4727.23630 ,61878058284464.30000 ,44683965535477.00000 ,0.01820 
2018/5/21,4726.07360 ,61875388733171.50000 ,44702470003019.00000 ,0.01820 
