时间,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),股息率市值加权
2013/8/26,2335.62,,17040285656699.80000 ,12409712035194.00000 ,0.03450 
2013/8/23,2286.93,,16752200028520.70000 ,12197532821493.00000 ,0.03500 
2013/8/22,2303.93,,16852478243891.30000 ,12278793960314.00000 ,0.03470 
2013/8/21,2308.59,,16908228667339.20000 ,12317670076562.00000 ,0.03460 
2013/8/20,2312.47,,16924132206502.80000 ,12329239213552.00000 ,0.03460 
2013/8/19,2331.43,,17057121884992.80000 ,12432095637904.00000 ,0.03430 
2013/8/16,2304.14,,16956284479595.00000 ,12290162541649.00000 ,0.03450 
2013/8/15,2321.58,,17020474081315.90000 ,12344950097128.00000 ,0.03440 
2013/8/14,2349.08,,17167683556264.50000 ,12455261958804.00000 ,0.03410 
2013/8/13,2359.07,,17215880935200.60000 ,12490344111564.00000 ,0.03400 
2013/8/12,2352.79,,17199802460792.80000 ,12449513171915.00000 ,0.03400 
2013/8/9,2286.01,,16789162144133.70000 ,12136342739891.00000 ,0.03480 
2013/8/8,2276.78,,16737553784484.50000 ,12095964450467.00000 ,0.03490 
2013/8/7,2280.62,,16753208099037.40000 ,12114381302178.00000 ,0.03490 
2013/8/6,2293.64,,16866065321719.40000 ,12196936563803.00000 ,0.03470 
2013/8/5,2278.33,,16797091622832.20000 ,12147176615826.00000 ,0.03480 
2013/8/2,2247.26,,16623309379883.90000 ,12027604603909.00000 ,0.03520 
2013/8/1,2245.36,,16629957336542.90000 ,12028175665327.00000 ,0.03520 
2013/7/31,2193.02,,16348489071501.90000 ,11822550092411.00000 ,0.03580 
2013/7/30,2189.39,,16330215532609.60000 ,11804623325765.00000 ,0.03580 
2013/7/29,2175.97,,16185152354804.70000 ,11704525613443.00000 ,0.03610 
2013/7/26,2224.01,,16482966326403.70000 ,11916030144617.00000 ,0.03550 
2013/7/25,2237.68,,16578438396029.80000 ,11987498661808.00000 ,0.03530 
2013/7/24,2249.15,,16651302253646.40000 ,12029942557510.00000 ,0.03510 
2013/7/23,2265.84,,16754109873433.30000 ,12111276952919.00000 ,0.03490 
2013/7/22,2202.19,,16434438990603.80000 ,11865574823237.00000 ,0.03560 
2013/7/19,2190.48,,16381168875468.90000 ,11821675820770.00000 ,0.03570 
2013/7/18,2245.33,,16598250222122.40000 ,11989890553966.00000 ,0.03530 
2013/7/17,2282.84,,16813150290570.90000 ,12147841636524.00000 ,0.03480 
2013/7/16,2317.85,,17009499509235.40000 ,12274911732161.00000 ,0.03440 
2013/7/15,2307.3,,16974235871569.80000 ,11605339126670.00000 ,0.03450 
2013/7/12,2275.37,,16838972610420.30000 ,11497896554889.00000 ,0.03480 
2013/7/11,2326.69,,17138586778253.20000 ,11705622147646.00000 ,0.03420 
2013/7/10,2224.06,,16575689412989.70000 ,11310835618291.00000 ,0.03530 
2013/7/9,2162.67,,16260593124736.30000 ,11071289387854.00000 ,0.03600 
2013/7/8,2163.62,,16219518497682.10000 ,11040430332302.00000 ,0.03610 
2013/7/5,2226.85,,16572790775874.70000 ,11301952628245.00000 ,0.03530 
2013/7/4,2221.98,,16515623140766.70000 ,11273810518458.00000 ,0.03540 
2013/7/3,2203.83,,16425611323868.40000 ,11206752343520.00000 ,0.03560 
2013/7/2,2221.98,,16541133071664.30000 ,11275228976815.00000 ,0.03540 
2013/7/1,2213.32,,16463659074547.60000 ,11224569541100.00000 ,0.03560 
2013/6/28,2200.64,,16100740492211.10000 ,11051506379809.00000 ,0.03620 
2013/6/27,2160.74,,15802856335825.50000 ,10811402470134.00000 ,0.03690 
2013/6/26,2168.3,,15766689036345.20000 ,10805941638679.00000 ,0.03700 
2013/6/25,2165.42,,15863264765802.10000 ,10888542251204.00000 ,0.03680 
2013/6/24,2171.21,,15870922964785.80000 ,10915781543335.00000 ,0.03670 
2013/6/21,2317.39,,16743110987245.20000 ,11539298973612.00000 ,0.03480 
2013/6/20,2321.47,,16911538238557.40000 ,11588303296809.00000 ,0.03450 
2013/6/19,2400.76,,17402075658612.30000 ,11926557526249.00000 ,0.03350 
2013/6/18,2418.75,,17538291245304.10000 ,12014324181030.00000 ,0.03320 
2013/6/17,2403.84,,17514868339231.80000 ,12001677766525.00000 ,0.03330 
2013/6/14,2416.77,,17598769411763.40000 ,12049448140739.00000 ,0.03310 
2013/6/13,2399.94,,17507776447852.90000 ,11992851437841.00000 ,0.03330 
2013/6/7,2484.16,,18015529340355.30000 ,12360956072317.00000 ,0.03240 
2013/6/6,2527.84,,18263255960988.80000 ,12543750278266.00000 ,0.03190 
2013/6/5,2560.54,,18469163437439.50000 ,12693875824489.00000 ,0.03160 
2013/6/4,2565.67,,18489513666150.00000 ,12708019234673.00000 ,0.03150 
2013/6/3,2602.62,,18680555885050.30000 ,12846667147925.00000 ,0.03120 
2013/5/31,2606.43,,18676793235159.40000 ,12842388526432.00000 ,0.03120 
2013/5/30,2634.32,,18831771807437.40000 ,12952030036145.00000 ,0.03100 
2013/5/29,2642.56,,18905281031394.00000 ,12997708048586.00000 ,0.03080 
